timestamp,RED,IR,GREEN
1772597790.777000,771676.000000,1168813.000000,-12192.000000
1772597790.817000,771918.000000,1169109.000000,-12272.000000
1772597790.857000,771906.000000,1169108.000000,-12317.000000
1772597790.897000,771734.000000,1168987.000000,-12193.000000
1772597790.937000,771895.000000,1169165.000000,-12116.000000
1772597790.977000,772058.000000,1169446.000000,-11838.000000
1772597791.017000,772165.000000,1169658.000000,-11511.000000
1772597791.057000,772303.000000,1169790.000000,-11182.000000
1772597791.097000,772526.000000,1170094.000000,-10757.000000
1772597791.137000,772850.000000,1170537.000000,-10441.000000
1772597791.177000,773097.000000,1170897.000000,-9985.000000
